Team1,Team2,Winner,Ground,Date,Match_no,link,TeamName,inns,fours,sixes,xtras_receive,total,wkts_lost
New Zealand,Australia,Australia,Christchurch,"Mar 10-13, 2005",1739,http://www.espncricinfo.com/ci/engine/match/64128.html,Australia,2,21,2,1,135,1
South Africa,Zimbabwe,South Africa,Centurion,"Mar 11-13, 2005",1740,http://www.espncricinfo.com/ci/engine/match/64124.html,Zimbabwe,1,35,1,19,269,10
South Africa,Zimbabwe,South Africa,Centurion,"Mar 11-13, 2005",1740,http://www.espncricinfo.com/ci/engine/match/64124.html,South Africa,1,59,8,36,480,7
South Africa,Zimbabwe,South Africa,Centurion,"Mar 11-13, 2005",1740,http://www.espncricinfo.com/ci/engine/match/64124.html,Zimbabwe,2,20,0,17,149,10
India,Pakistan,India,Kolkata,"Mar 16-20, 2005",1741,http://www.espncricinfo.com/ci/engine/match/64126.html,India,1,55,1,36,407,10
India,Pakistan,India,Kolkata,"Mar 16-20, 2005",1741,http://www.espncricinfo.com/ci/engine/match/64126.html,Pakistan,1,51,0,28,393,10
India,Pakistan,India,Kolkata,"Mar 16-20, 2005",1741,http://www.espncricinfo.com/ci/engine/match/64126.html,India,2,50,3,23,407,9
India,Pakistan,India,Kolkata,"Mar 16-20, 2005",1741,http://www.espncricinfo.com/ci/engine/match/64126.html,Pakistan,2,30,3,22,226,10
New Zealand,Australia,drawn,Wellington,"Mar 18-22, 2005",1742,http://www.espncricinfo.com/ci/engine/match/64129.html,Australia,1,69,7,30,570,8
New Zealand,Australia,drawn,Wellington,"Mar 18-22, 2005",1742,http://www.espncricinfo.com/ci/engine/match/64129.html,New Zealand,1,29,1,18,244,10
New Zealand,Australia,drawn,Wellington,"Mar 18-22, 2005",1742,http://www.espncricinfo.com/ci/engine/match/64129.html,New Zealand,2,4,0,9,48,3
India,Pakistan,Pakistan,Bengaluru,"Mar 24-28, 2005",1743,http://www.espncricinfo.com/ci/engine/match/64127.html,Pakistan,1,67,1,21,570,10
India,Pakistan,Pakistan,Bengaluru,"Mar 24-28, 2005",1743,http://www.espncricinfo.com/ci/engine/match/64127.html,India,1,55,2,41,449,10
India,Pakistan,Pakistan,Bengaluru,"Mar 24-28, 2005",1743,http://www.espncricinfo.com/ci/engine/match/64127.html,Pakistan,2,28,3,12,261,2
India,Pakistan,Pakistan,Bengaluru,"Mar 24-28, 2005",1743,http://www.espncricinfo.com/ci/engine/match/64127.html,India,2,28,0,31,214,10
New Zealand,Australia,Australia,Auckland,"Mar 26-29, 2005",1744,http://www.espncricinfo.com/ci/engine/match/64130.html,New Zealand,1,36,1,19,292,10
New Zealand,Australia,Australia,Auckland,"Mar 26-29, 2005",1744,http://www.espncricinfo.com/ci/engine/match/64130.html,Australia,1,49,5,20,383,10
New Zealand,Australia,Australia,Auckland,"Mar 26-29, 2005",1744,http://www.espncricinfo.com/ci/engine/match/64130.html,New Zealand,2,29,4,17,254,10
New Zealand,Australia,Australia,Auckland,"Mar 26-29, 2005",1744,http://www.espncricinfo.com/ci/engine/match/64130.html,Australia,2,23,2,12,166,1
West Indies,South Africa,drawn,Georgetown,"Mar 31-Apr 4, 2005",1745,http://www.espncricinfo.com/ci/engine/match/64131.html,West Indies,1,73,2,18,543,5
West Indies,South Africa,drawn,Georgetown,"Mar 31-Apr 4, 2005",1745,http://www.espncricinfo.com/ci/engine/match/64131.html,South Africa,1,22,0,39,188,10
West Indies,South Africa,drawn,Georgetown,"Mar 31-Apr 4, 2005",1745,http://www.espncricinfo.com/ci/engine/match/64131.html,South Africa,2,29,0,29,269,4
New Zealand,Sri Lanka,drawn,Napier,"Apr 4-8, 2005",1746,http://www.espncricinfo.com/ci/engine/match/64133.html,New Zealand,1,66,6,21,561,10
New Zealand,Sri Lanka,drawn,Napier,"Apr 4-8, 2005",1746,http://www.espncricinfo.com/ci/engine/match/64133.html,Sri Lanka,1,74,1,25,498,10
New Zealand,Sri Lanka,drawn,Napier,"Apr 4-8, 2005",1746,http://www.espncricinfo.com/ci/engine/match/64133.html,New Zealand,2,23,1,25,238,10
New Zealand,Sri Lanka,drawn,Napier,"Apr 4-8, 2005",1746,http://www.espncricinfo.com/ci/engine/match/64133.html,Sri Lanka,2,1,0,0,7,0
West Indies,South Africa,South Africa,Port of Spain,"Apr 8-12, 2005",1747,http://www.espncricinfo.com/ci/engine/match/64132.html,West Indies,1,43,0,24,347,10
West Indies,South Africa,South Africa,Port of Spain,"Apr 8-12, 2005",1747,http://www.espncricinfo.com/ci/engine/match/64132.html,South Africa,1,44,1,26,398,10
West Indies,South Africa,South Africa,Port of Spain,"Apr 8-12, 2005",1747,http://www.espncricinfo.com/ci/engine/match/64132.html,West Indies,2,16,0,21,194,10
West Indies,South Africa,South Africa,Port of Spain,"Apr 8-12, 2005",1747,http://www.espncricinfo.com/ci/engine/match/64132.html,South Africa,2,15,0,17,146,2
New Zealand,Sri Lanka,New Zealand,Wellington,"Apr 11-14, 2005",1748,http://www.espncricinfo.com/ci/engine/match/64134.html,Sri Lanka,1,27,0,21,211,10
New Zealand,Sri Lanka,New Zealand,Wellington,"Apr 11-14, 2005",1748,http://www.espncricinfo.com/ci/engine/match/64134.html,New Zealand,1,57,6,47,522,9
New Zealand,Sri Lanka,New Zealand,Wellington,"Apr 11-14, 2005",1748,http://www.espncricinfo.com/ci/engine/match/64134.html,Sri Lanka,2,29,2,24,273,10
West Indies,South Africa,South Africa,Bridgetown,"Apr 21-24, 2005",1749,http://www.espncricinfo.com/ci/engine/match/207334.html,West Indies,1,29,1,10,296,10
West Indies,South Africa,South Africa,Bridgetown,"Apr 21-24, 2005",1749,http://www.espncricinfo.com/ci/engine/match/207334.html,South Africa,1,44,3,16,548,9
West Indies,South Africa,South Africa,Bridgetown,"Apr 21-24, 2005",1749,http://www.espncricinfo.com/ci/engine/match/207334.html,West Indies,2,14,4,7,166,10
West Indies,South Africa,drawn,St John's,"Apr 29-May 3, 2005",1750,http://www.espncricinfo.com/ci/engine/match/208321.html,South Africa,1,63,3,18,588,6
West Indies,South Africa,drawn,St John's,"Apr 29-May 3, 2005",1750,http://www.espncricinfo.com/ci/engine/match/208321.html,West Indies,1,81,5,37,747,10
West Indies,South Africa,drawn,St John's,"Apr 29-May 3, 2005",1750,http://www.espncricinfo.com/ci/engine/match/208321.html,South Africa,2,17,2,9,127,1
England,Bangladesh,England,Lord's,"May 26-28, 2005",1751,http://www.espncricinfo.com/ci/engine/match/209929.html,Bangladesh,1,13,0,14,108,10
England,Bangladesh,England,Lord's,"May 26-28, 2005",1751,http://www.espncricinfo.com/ci/engine/match/209929.html,England,1,57,0,38,528,3
England,Bangladesh,England,Lord's,"May 26-28, 2005",1751,http://www.espncricinfo.com/ci/engine/match/209929.html,Bangladesh,2,17,0,19,159,10
West Indies,Pakistan,West Indies,Bridgetown,"May 26-29, 2005",1752,http://www.espncricinfo.com/ci/engine/match/209930.html,West Indies,1,33,4,38,345,10
West Indies,Pakistan,West Indies,Bridgetown,"May 26-29, 2005",1752,http://www.espncricinfo.com/ci/engine/match/209930.html,Pakistan,1,17,1,8,144,10
West Indies,Pakistan,West Indies,Bridgetown,"May 26-29, 2005",1752,http://www.espncricinfo.com/ci/engine/match/209930.html,West Indies,2,32,3,26,371,10
West Indies,Pakistan,West Indies,Bridgetown,"May 26-29, 2005",1752,http://www.espncricinfo.com/ci/engine/match/209930.html,Pakistan,2,31,8,17,296,10
England,Bangladesh,England,Chester-le-Street,"Jun 3-5, 2005",1753,http://www.espncricinfo.com/ci/engine/match/210366.html,Bangladesh,1,11,0,11,104,10
England,Bangladesh,England,Chester-le-Street,"Jun 3-5, 2005",1753,http://www.espncricinfo.com/ci/engine/match/210366.html,England,1,63,3,16,447,3
England,Bangladesh,England,Chester-le-Street,"Jun 3-5, 2005",1753,http://www.espncricinfo.com/ci/engine/match/210366.html,Bangladesh,2,44,1,21,316,10
West Indies,Pakistan,Pakistan,Kingston,"Jun 3-7, 2005",1754,http://www.espncricinfo.com/ci/engine/match/210368.html,Pakistan,1,53,0,26,374,10
West Indies,Pakistan,Pakistan,Kingston,"Jun 3-7, 2005",1754,http://www.espncricinfo.com/ci/engine/match/210368.html,West Indies,1,53,4,13,404,10
West Indies,Pakistan,Pakistan,Kingston,"Jun 3-7, 2005",1754,http://www.espncricinfo.com/ci/engine/match/210368.html,Pakistan,2,35,1,13,309,10
West Indies,Pakistan,Pakistan,Kingston,"Jun 3-7, 2005",1754,http://www.espncricinfo.com/ci/engine/match/210368.html,West Indies,2,19,0,15,143,10
Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"Jul 13-16, 2005",1755,http://www.espncricinfo.com/ci/engine/match/213347.html,West Indies,1,32,2,20,285,10
Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"Jul 13-16, 2005",1755,http://www.espncricinfo.com/ci/engine/match/213347.html,Sri Lanka,1,28,1,17,227,10
Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"Jul 13-16, 2005",1755,http://www.espncricinfo.com/ci/engine/match/213347.html,West Indies,2,6,1,9,113,10
Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),"Jul 13-16, 2005",1755,http://www.espncricinfo.com/ci/engine/match/213347.html,Sri Lanka,2,21,0,10,172,4
England,Australia,Australia,Lord's,"Jul 21-24, 2005",1756,http://www.espncricinfo.com/ci/engine/match/213856.html,Australia,1,28,0,21,190,10
England,Australia,Australia,Lord's,"Jul 21-24, 2005",1756,http://www.espncricinfo.com/ci/engine/match/213856.html,England,1,22,2,11,155,10
